TIMESTAMP,median,p05,p95,density
2024-11-17,222.46825344216626,211.56980949601817,244.66711814831905,317.8117906316661
2024-11-18,218.24021919563603,201.90801486105102,245.79131557465632,324.7622309458869
2024-11-19,223.78762156506528,207.27115180266347,238.92449663598634,327.6539115154689
2024-11-20,239.39647941606984,232.84334791410254,256.5946052299149,295.7337608598762
2024-11-21,256.87564871638784,238.25676925332965,284.5139078359653,310.79933299018495
2024-11-22,268.2643769342626,237.55791882286076,303.0045007729414,277.9941729888732
2024-11-23,268.34209980816723,251.46984629450108,290.5996696293872,279.23215380662566
2024-11-24,261.0974852334442,239.62046436954572,275.48355666728827,278.65259896845697
2024-11-25,272.4226709249999,252.18639885795105,292.00687405015475,298.7090689967104
2024-11-26,272.57803048510914,260.4129737431485,301.38887419121363,298.2254162856774
2024-11-27,278.5469772922354,264.0462956301624,314.6318444962118,310.3587490721286
2024-11-28,285.13566378657293,265.1897377460075,304.78602266122374,315.76485469166437
2024-11-29,306.4920685508084,280.89320981331394,318.8317909820175,337.546331003093
2024-11-30,295.2332435462305,277.4489281016248,314.6108073715866,331.72274555756235
2024-12-01,303.82483683899096,291.7289787965262,322.17499190588046,343.1110523308763
2024-12-02,299.1551927007739,275.7680384534586,321.76997237922575,336.88647826663725
2024-12-03,306.6401503431238,290.87303005037415,326.16440893590976,339.95582077951644
2024-12-04,300.1628171667577,283.48749410565944,318.95833214358845,326.97474636901705
2024-12-05,301.2033400500141,270.1663099902289,316.57106939121854,332.82137022101006
2024-12-06,320.0722252977711,288.8851661365952,340.23067535267404,318.4798261669365
2024-12-07,325.9342553380667,291.9729618175208,348.050546522834,323.18716444032395
2024-12-08,343.3873469803183,329.38160519837186,374.7661993917573,296.5348419519156
2024-12-09,340.633945421471,312.2179163189982,388.3813156584915,269.27584618298107
2024-12-10,326.7112030973604,299.67253013332186,364.9578609323628,266.48548376619937
2024-12-11,328.677999673336,284.6188761444177,350.2525081732786,274.3555923817496
