"date","hs","swe_deltasnow","swe_hs2swe","swe_gu19","swe_pi16","swe_st10"
2025-02-24,1.8351875,598.67235181496,598.19628281851,552.9992516,579.91925,649.932698712925
2025-02-25,1.842,601.593533668283,600.618029489266,556.8279426,583.914,654.410370943228
2025-02-26,1.87734027777778,607.275276161673,606.703692423177,569.349997275,596.994208333333,670.607637260086
2025-02-27,1.86159027777778,607.275276161673,606.703692423177,566.425515342361,593.847298611111,665.835118472715
2025-02-28,1.85156944444444,607.275276161673,606.703692423177,565.24712,592.502222222222,663.402920065287
2025-03-01,1.84535416666667,607.275276161673,606.703692423177,565.24249976875,592.3586875,662.522157383775
2025-03-02,1.84626388888889,607.275276161673,606.703692423177,567.443298205556,594.496972222222,664.566589833475
2025-03-03,1.8384375,607.275276161673,606.703692423177,566.98019184375,593.8153125,662.997053568768
2025-03-04,1.83721527777778,607.275276161673,606.703692423177,568.572565533333,595.25775,664.143239110426
2025-03-05,1.83584722222222,607.275276161673,606.703692423177,570.145302951389,596.650347222222,665.221131827433
2025-03-06,1.82465277777778,607.275276161673,606.703692423177,568.680772916667,594.836805555556,662.217589890295
2025-03-07,1.82095138888889,607.275276161673,606.703692423177,569.56318455625,595.451104166667,662.30527448463
2025-03-08,1.8188125,607.275276161673,606.703692423177,570.9557998,596.5705,663.031336646613
2025-03-09,1.82266666666667,609.751830559733,606.703692423177,574.2597492,599.657333333333,666.242373060861
2025-03-10,1.89052777777778,618.58603442948,616.729006164583,597.841599166667,623.874166666667,696.254264598002
2025-03-11,1.88529861111111,621.042772464643,619.673537704209,598.412066563194,624.033840277778,695.697221299236
2025-03-12,1.98386111111111,633.839463799305,633.511468536971,632.067672533333,658.641888888889,739.096647146139
2025-03-13,2.05533333333333,646.113652391633,646.571715770109,657.3270466,684.426,771.410889137355
2025-03-14,2.15294444444444,662.53888208284,663.260088737626,691.183867977778,719.083444444444,815.409794475392
2025-03-15,2.26095138888889,682.407014158046,682.516015247648,728.665065989583,757.418715277778,864.537379859937
2025-03-16,2.37491666666667,705.526367878919,703.829952701328,768.3786384,797.972,916.965957666863
2025-03-17,2.32010416666667,712.514159143583,707.309604977293,753.596050510417,781.875104166667,894.438460805577
2025-03-18,2.2875,717.155290827746,709.734914889661,745.951005,773.175,881.814460570908
2025-03-19,2.26314583333333,720.365522979669,709.73491488966,740.95779318125,767.2064375,872.84695099516
2025-03-20,2.24573611111111,723.034775005193,709.73491488966,738.218374444444,763.550277777778,866.945532414303
2025-03-21,2.22946527777778,723.034775005193,709.73491488966,735.843263952083,760.247659722222,861.534512073302
2025-03-22,2.22747222222222,726.430703641897,713.04550190865,738.190531366667,761.7955,862.435483427623
2025-03-23,2.25977083333333,733.190953894597,720.555561869894,751.977838827083,775.101395833333,878.575044709308
2025-03-24,2.23959027777778,733.190953894597,722.962855735992,748.352820466667,770.419055555556,871.372882961012
2025-03-25,2.2344375,736.205681557433,726.130769448246,749.74874484375,770.8809375,870.847430112515
2025-03-26,2.23731944444444,739.737769847288,730.115162828037,753.871946227778,774.112527777778,873.893745355048
2025-03-27,2.22272222222222,739.737769847288,730.115162828037,752.12318965,771.284611111111,869.133123943924
2025-03-28,2.23745833333333,744.283128646232,734.964277731615,760.3348808,778.6355,877.460610049036
2025-03-29,2.26389583333333,750.128857098656,741.708914698644,772.617163039583,790.099645833333,891.05845170109
2025-03-30,2.33959722222222,761.630254471845,754.548651759502,801.896947916667,818.859027777778,926.961184333277
2025-03-31,2.50796527777778,785.126455707239,779.497575804742,863.336198902083,880.2958125,1005.64349598508
2025-04-01,2.51142361111111,796.718183787151,789.161476756183,868.301608444445,884.021111111111,1009.10613365626
2025-04-02,2.43106944444444,796.718183787151,789.161476756183,844.211473529167,858.167513888889,974.031639655174
2025-04-03,2.38909027777778,799.511984485142,789.161476756183,833.298443075,845.737958333333,956.629959533691
2025-04-04,2.36521527777778,799.511984485142,789.161476756183,828.635433454861,839.651423611111,947.505670574391
2025-04-05,2.34072916666667,799.511984485141,789.161476756183,823.719447,833.299583333333,938.093491774735
2025-04-06,2.32010416666667,799.511984485142,789.161476756183,820.12735759375,828.2771875,930.431990640832
2025-04-07,2.30669444444444,802.371936409334,789.161476756183,819.067522077778,825.796611111111,926.046075478761
2025-04-08,2.29307638888889,802.371936409334,789.161476756183,817.925901535417,823.214423611111,921.551530318388
2025-04-09,2.28511111111111,802.371936409334,789.161476756183,818.801013333333,822.64,919.619955918535
2025-04-10,2.27297916666667,802.371936409334,789.161476756183,818.185444897917,820.545479166667,915.775687073076
2025-04-11,2.26133333333333,802.371936409334,789.161476756183,817.7406464,818.602666666667,912.139602323771
2025-04-12,2.25334722222222,802.371936409334,789.161476756183,818.6214417125,817.965041666667,910.159637087412
2025-04-13,2.29239583333333,809.315885449388,795.453300063818,836.676797333333,834.432083333333,929.681801873713
2025-04-14,2.30702083333333,813.707740148813,800.22487863053,845.94416671875,842.062604166667,938.066086692696
2025-04-15,2.39757638888889,826.015989561958,813.652472736328,883.270018758333,877.512958333333,981.550639475431
2025-04-16,2.43467361111111,834.658131631927,823.03298096947,901.158647450695,893.525215277778,1000.50152224488
2025-04-17,2.78961805555556,877.903685438972,868.423788506845,1037.41655266667,1026.57944444444,1169.9551116098
2025-04-18,2.81292361111111,902.81361093125,884.639672766073,1051.04806341458,1037.9688125,1183.02337597172
2025-04-19,2.77320138888889,913.551746828346,890.250278062672,1041.14299743056,1026.08451388889,1165.84296866529
2025-04-20,2.73845833333333,919.378914609874,893.611867998652,1033.0168617125,1015.96804166667,1151.05804877408
2025-04-21,2.77286111111111,930.079786866774,903.444206249628,1051.0164024,1031.50433333333,1169.39811229169
2025-04-22,2.74280555555556,933.617777341864,906.876344435938,1044.63397514722,1023.06647222222,1156.81598706825
2025-04-23,2.75025694444444,939.818885494112,913.146744312886,1052.537633975,1028.59609722222,1162.22217991749
2025-04-24,2.73435416666667,943.047541619135,916.961897220854,1051.53007421875,1025.3828125,1156.40575772065
2025-04-25,2.75854861111111,949.948884807692,924.666480577638,1066.00028424444,1037.21427777778,1169.85550189162
2025-04-26,2.76,954.599098673043,930.421150457642,1071.772308,1040.52,1172.36938889951
2025-04-27,2.75540972222222,958.306148817242,935.149708817355,1075.23471859167,1041.544875,1171.96346114067
2025-04-28,2.71495833333333,958.306148817242,935.149708817355,1064.65923609583,1028.96920833333,1154.26518954524
2025-04-29,2.66045833333333,958.306148817242,935.149708817355,1048.43342,1010.97416666667,1129.83640818713
2025-04-30,2.62022222222222,958.306148817242,935.149708817355,1037.6858206,998.304666666667,1112.28313940847
2025-05-01,2.57118055555556,958.306148817242,935.149708817355,1023.31649097222,982.190972222222,1090.53656660101
2025-05-02,2.49920138888889,958.306148817242,935.149708817355,999.61882528125,957.194131944444,1057.90643449924
2025-05-03,2.4615,958.306148817242,935.149708817355,989.4521088,945.216,1041.63688554549
