"date","hs","swe_deltasnow","swe_hs2swe","swe_pi16","swe_st10","swe_jo09"
2024-11-29,0.884909722222222,184.416732084741,206.892068114447,203.529236111111,192.817239342787,218.122060856242
2024-11-30,0.880027777777778,184.416732084741,206.892068114447,203.286416666667,192.825499739611,216.716795872324
2024-12-01,0.886736111111111,187.029458504528,209.297314976006,205.722777777778,195.836943498033,219.919665964247
2024-12-02,0.900902777777778,190.31038178524,212.887855689114,209.910347222222,200.826829856018,224.096819782488
2024-12-03,0.917083333333333,193.849876511333,216.99392241524,214.5975,206.400501915108,228.893290785222
2024-12-04,0.904041666666667,193.849876511333,216.99392241524,212.449791666667,204.21700309037,225.025171787622
2024-12-05,0.990298611111111,204.262995767425,228.655064166901,233.710472222222,228.872729770914,250.937235832422
2024-12-06,1.01668055555556,210.384773110578,235.73749460194,240.953291666667,237.555722479535,259.017064145651
2024-12-07,1.25049305555556,237.573630154964,266.068923769247,297.617347222222,306.454054951307,333.788672533676
2024-12-08,1.37881944444444,262.338216830507,289.788675835161,329.537847222222,347.143255893556,377.243069626451
2024-12-09,1.23066666666667,262.338216830507,289.788675835161,295.36,303.853790777353,327.227714107422
2024-12-10,1.19721527777778,262.338216830507,289.788675835161,288.528881944444,295.504679037536,316.250641746813
2024-12-11,1.16968055555556,262.338216830507,289.788675835161,283.062694444444,288.911703211055,307.302453852851
2024-12-12,1.14263194444444,262.338216830507,289.788675835161,277.6595625,282.452560032709,298.588978872676
2024-12-13,1.1680625,268.727011634231,294.738092513506,285.00725,291.532830543847,306.779058953125
2024-12-14,1.17931944444444,273.228155935036,298.796409888511,288.933263888889,296.450372130236,310.425887715251
2024-12-15,1.19800694444444,278.182410339784,303.726702734621,294.709708333333,303.64596140591,316.509060797276
2024-12-16,1.14565972222222,278.182410339784,303.726702734621,282.977951388889,289.398700243994,299.560573136613
2024-12-17,1.10731944444444,278.182410339784,303.726702734621,274.615222222222,279.407808498654,287.327912048051
2024-12-18,1.11174305555556,280.578509480514,303.726702734621,276.824020833333,282.18234096605,288.731513350676
2024-12-19,1.18488888888889,289.650138291498,314.11219737129,296.222222222222,305.837968666645,312.235077587847
2024-12-20,1.15515972222222,289.650138291498,314.11219737129,289.945090277778,298.255554973714,302.615227920213
2024-12-21,1.24867361111111,301.562617599919,326.745742307395,314.66575,328.717148827427,333.184859325522
2024-12-22,1.35155395683453,316.362471788881,342.654008304886,341.943151079137,363.0359867429,367.867059775632
2024-12-23,1.14161428571429,316.362471788881,335.410872037154,289.970028571429,298.525990378677,298.262654088154
2024-12-24,1.07824305555556,316.362471788881,330.552193028899,274.951979166667,280.573759083591,278.152907390276
2024-12-25,1.07604166666667,316.362471788881,330.552193028899,275.466666666667,281.281935215467,277.461837717222
2024-12-26,1.07236805555556,316.362471788881,330.552193028899,275.598590277778,281.530311270957,276.309733168676
2024-12-27,1.07315277777778,316.362471788881,330.552193028899,276.873416666667,283.133449099001,276.555710791688
2024-12-28,1.07342361111111,316.362471788881,330.552193028899,278.016715277778,284.574946991157,276.640612541922
2024-12-29,1.06961805555556,316.362471788881,330.552193028899,278.100694444444,284.752730444172,275.448204142076
2024-12-30,1.07072916666667,316.362471788881,330.552193028899,279.4603125,286.440990230172,275.796198506097
2024-12-31,1.07270833333333,316.362471788881,330.552193028899,281.049583333333,288.39673983977,276.416366808222
2025-01-01,1.08342361111111,316.362471788881,333.133943954405,283.856986111111,293.083839027375,283.031443885922
2025-01-02,1.16339583333333,325.192995309933,343.392756364003,305.973104166667,319.779895478194,308.761268367797
2025-01-03,1.16524305555556,325.192995309933,346.49386687198,307.624166666667,321.796526807837,309.363468259076
2025-01-04,1.18023611111111,328.459522031124,350.188740436853,312.762569444444,328.054620352021,314.264153980647
2025-01-05,1.18065277777778,328.459522031124,350.188740436853,314.053638888889,329.620131175758,314.400692495688
2025-01-06,1.2925625,341.174626789613,365.247357718539,345.1141875,367.891700895493,351.723382703125
2025-01-07,1.31064583333333,346.723070483371,371.812118500645,351.253083333333,375.479453376148,357.876529898997
2025-01-08,1.29823611111111,346.723070483371,371.812118500645,349.225513888889,372.856234934115,353.650259399847
2025-01-09,1.29092361111111,349.275130301011,371.812118500645,348.549375,371.925028184669,351.167400173922
2025-01-10,1.370375,359.888670794329,383.37055888926,371.371625,400.431526033177,378.4420748125
2025-01-11,1.36318055555556,363.112960545913,386.983502625745,370.785111111111,399.549630685984,375.945295047251
2025-01-12,1.35111805555556,363.112960545913,386.983502625745,368.855229166667,396.980495994251,371.771144937676
2025-01-13,1.34352777777778,363.112960545913,386.983502625745,368.126611111111,395.927449154698,369.152327587388
2025-01-14,1.37125694444444,368.972012851578,392.556214751053,377.095659722222,407.048032751197,378.748504071476
2025-01-15,1.36052777777778,368.972012851578,392.556214751053,375.505666666667,404.88960828243,375.026012737788
2025-01-16,1.35326388888889,368.972012851578,392.556214751053,374.854097222222,403.914611131787,372.512578628247
2025-01-17,1.35548611111111,372.151145382726,395.171787270874,376.825138888889,406.222862426728,373.280915389247
2025-01-18,1.38565277777778,377.848762143414,401.042730530503,386.597125,418.314084768879,383.762010191688
2025-01-19,1.41136805555556,383.370335532801,407.056655957343,395.183055555556,428.940263861575,392.771239202276
2025-01-20,1.3834375,383.370335532801,407.056655957343,388.7459375,420.633713933932,382.989108203125
2025-01-21,1.40379861111111,388.246011301585,411.403866105198,395.871208333333,429.388402054374,390.112159626822
2025-01-22,1.44486805555556,395.291770488982,418.835912143008,408.897659722222,445.612312534542,404.610952662676
2025-01-23,1.43996527777778,398.187585691097,421.81751148561,408.950138888889,445.435049749387,402.870893360613
2025-01-24,1.42180555555556,398.187585691097,421.81751148561,405.214583333333,440.481105082362,396.447587977951
2025-01-25,1.55976388888889,414.99354853195,439.688490922965,446.092472222222,492.2628770688,446.104521144647
2025-01-26,1.59668055555556,425.057330761897,449.663239185555,458.247319444444,507.602954627105,459.728079737651
2025-01-27,2.09034722222222,482.836244313404,510.9766771413,602.02,700.250874885151,655.528814940488
2025-01-28,2.15907638888889,522.747194224643,536.083234095692,623.973076388889,730.061874994851,684.798521213922
2025-01-29,2.12445833333333,541.731807239884,545.867609132327,616.092916666667,718.161074323243,669.994305228822
2025-01-30,2.09271527777778,551.735068331818,552.143596955261,608.980145833333,707.425537449328,656.529145966413
2025-01-31,2.09211805555556,561.013013091058,560.02633168949,610.898472222222,709.243685562102,656.276822196076
2025-02-01,2.05754166666667,564.879087333683,563.616638100201,602.859708333333,697.33629093862,638.963234002989
2025-02-02,2.03678472222222,568.461725146019,567.327027330248,598.814708333333,690.990462579534,630.572444781088
2025-02-03,2.00283333333333,568.461725146019,567.327027330248,590.835833333333,679.330442342971,616.933405939089
2025-02-04,1.96802777777778,568.461725146019,567.327027330248,582.536222222222,667.33340736375,603.06133941235
2025-02-05,1.95136111111111,568.461725146019,567.327027330248,579.55425,662.588795781734,596.458128049288
2025-02-06,1.93489583333333,568.461725146019,567.327027330248,576.598958333333,657.907591712799,589.959804035451
2025-02-07,1.91542361111111,568.461725146019,567.327027330248,572.711659722222,652.007760834278,582.3069433421
2025-02-08,1.93804166666667,574.2118244687,572.844900377018,581.4125,662.942202366733,591.199462053189
2025-02-09,1.95161111111111,579.060654296521,578.34652175793,587.434944444444,670.282589455197,596.556987229588
2025-02-10,1.94341666666667,581.587957303018,581.548255852531,586.911833333333,668.85689732604,593.319615142589
2025-02-11,1.96481944444444,586.896908591324,587.668867852649,595.340291666667,679.382802318995,601.788211092353
2025-02-12,1.96300694444444,589.958885929311,591.677744329274,596.754111111111,680.523178937892,601.06940982459
2025-02-13,2.01810416666667,598.845729359057,601.804438816896,615.521770833333,704.866919636556,623.054946634651
2025-02-14,1.98036111111111,598.845729359057,601.804438816896,605.9905,691.3257583406,607.964145464088
2025-02-15,1.94327777777778,598.845729359057,601.804438816896,596.586277777778,678.066434151008,593.264792986751
2025-02-16,1.90560416666667,598.845729359057,601.804438816896,586.926083333333,664.57944412681,578.461005664651
2025-02-17,1.89054166666667,598.845729359057,601.804438816896,584.177375,660.262481894145,572.578757324189
2025-02-18,1.88307638888889,598.845729359057,601.804438816896,583.753680555556,659.01094860386,569.6711242589
2025-02-19,1.87738194444444,598.845729359057,601.804438816896,583.865784722222,658.464207205439,567.45664093859
2025-02-20,1.86770833333333,598.845729359057,601.804438816896,582.725,656.286076937138,563.701599488889
2025-02-21,1.85279166666667,598.845729359057,601.804438816896,579.923791666667,651.960209322573,557.928233875089
